sym,name,region_id,instrument_id,blp_symbol,blp_type,exchange_id,sector_id,subsector_id,tt_exchange,orderGenRegion_id,varsubsector_id,trading_start_time,trading_end_time
HUF,USD/HUF,WORLD,FX,USDHUF,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
IC,USD/CAD,WORLD,FX,USDCAD,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
IDR,USD/IDR,WORLD,FX,USDIDR,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
IF,USD/CHF,WORLD,FX,USDCHF,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
IFS,MIB_ITALY,EUROPE,FUT,ST,INDEX,MILAN,EQUITY,EQUITY,NYSE_Liffe-A,EUROPE,EQUITY,03:00:00,11:40:00
IH,NIFTY INDEX,ASIA,FUT,IH,INDEX,SIMEX,EQUITY,EQUITY,NOT_TT,ASIA,EQUITY,21:00:00,06:15:00
IK,Euro-BTP Italian,EUROPE,FUT,IK,COMDTY,EUREX,FI,FI_LM,Eurex-B,EUROPE,FI,02:00:00,11:30:00
ILS,USD/ILS,WORLD,FX,USDILS,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
IMMAD,IMM AUD,US,FUT,AD,CURNCY,IMM,FX,FX,CME-H,US,FX,08:20:00,15:00:00
IMMAD24,IMM AUD 24HR,WORLD,FUT,AD,CURNCY,IMM,FX,FX,CME-H,US,FX,18:00:00,15:00:00
IMMBE,IMM EURGBP,US,FUT,RP,CURNCY,IMM,FX,FX,CME-H,US,FX,08:20:00,15:00:00
IMMBP,IMM GBP,US,FUT,BP,CURNCY,IMM,FX,FX,CME-H,US,FX,08:20:00,15:00:00
IMMBP24,IMM GBP 24HR,WORLD,FUT,BP,CURNCY,IMM,FX,FX,CME-H,US,FX,18:00:00,15:00:00
IMMCD,IMM CAD,US,FUT,CD,CURNCY,IMM,FX,FX,CME-H,US,FX,08:20:00,15:00:00
